Index,Order,Seeds,Flowers
1,Polypodiales,0,0
2,Cyatheales,0,0
3,Gleicheniales,0,0
4,Equisetales,0,0
5,Hymenophyllales,0,0
6,Isoetales,0,0
7,Lycopodiales,0,0
8,Marattiales,0,0
9,Salviniales,0,0
10,Ophioglossales,0,0
11,Osmundales,0,0
12,Psilotales,0,0
13,Schizaeales,0,0
14,Selaginellales,0,0
15,Lamiales,1,1
16,Malpighiales,1,1
17,Caryophyllales,1,1
18,Acorales,1,1
19,Ericales,1,1
20,Berberidopsidales,1,1
21,Brassicales,1,1
22,Alismatales,1,1
23,Asterales,1,1
24,Liliales,1,1
25,Saxifragales,1,1
26,Myrtales,1,1
27,Bruniales,1,1
28,Asparagales,1,1
29,Amborellales,1,1
30,Sapindales,1,1
31,Cucurbitales,1,1
32,Magnoliales,1,1
33,Oxalidales,1,1
34,Crossosomatales,1,1
35,Apiales,1,1
36,Gentianales,1,1
37,Aquifoliales,1,1
38,Arecales,1,1
39,Piperales,1,1
40,Geraniales,1,1
41,Poales,1,1
42,Laurales,1,1
43,Austrobaileyales,1,1
44,Santalales,1,1
45,Rosales,1,1
46,Ranunculales,1,1
47,Fagales,1,1
48,Fabales,1,1
49,Malvales,1,1
50,Boraginales,1,1
51,Dioscoreales,1,1
52,Buxales,1,1
53,Nymphaeales,1,1
54,Canellales,1,1
55,Zingiberales,1,1
56,Dipsacales,1,1
57,Celastrales,1,1
58,Ceratophyllales,1,1
59,Chloranthales,1,1
60,Commelinales,1,1
61,Solanales,1,1
62,Cornales,1,1
63,Pandanales,1,1
64,Dilleniales,1,1
65,Huerteales,1,1
66,Escalloniales,1,1
67,Garryales,1,1
68,Gunnerales,1,1
69,Zygophyllales,1,1
70,Proteales,1,1
71,Paracryphiales,1,1
72,Petrosaviales,1,1
73,Picramniales,1,1
74,Trochodendrales,1,1
75,Vitales,1,1
76,Araucariales,1,0
77,Cupressales,1,0
78,Pinales,1,0
79,Podocarpales,1,0
80,Cycadales,1,0
81,Ephedrales,1,0
82,Ginkgoales,1,0
83,Gnetales,1,0
84,Welwitschiales,1,0
85,NA,,
86,Glaucidiales,1,1